Audio,Texto
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6X82sbce4Ln_22050_160_0.wav,vente a delegados o delegadas más radicales se debe invertir en ellos es decir capacitar les trabajar a lo largo del tiempo con ellos buscando alternativas y no centrándose en aquello que no diferencia se debe negociar sobre la base de criterios objetivos esto produce acuerdos inteligentes y eficientes mientras más considere patrones de eficiencia o justicia para evaluar el problema más inteligente y justo será el acuerdo final
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5d4ltp0TrUe_22050_160_0.wav,en segundo lugar la creación de un nuevo sistema de aplicación de la justicia laboral a través de tribunales laborales insertos dentro del poder judicial Federal o de los estados de la república
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5pVVRuyHhAE_22050_160_0.wav,También tienen derecho de libre afiliación y no pueden ser obligados a formar o no parte de agrupaciones
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_6TIW0Svae8R_21_160_1102x620_1.wav,ahora bien los derechos y obligaciones en la relación día a día de las y los asociados hacia las y los jefes son asistir a su centro de trabajo conforme a su turno y días de trabajo desempeña sus funciones de forma eficiente acorde a su puesto obedecer las instrucciones establecidas por la o el jefe siempre y cuando no pongan en riesgo su integridad física cumplir con las normas de seguridad e higiene de la empresa acudir a los programas de capacitación establecidos por la empresa cumplir con lo establecido tanto en el reglamento como en el contrato colectivo de trabajo en caso de pertenecer a alguna de las comisiones mixtas de seguridad e higiene o de capacitación y adiestramiento cumplir con las funciones y responsabilidades adquiridas mantener confidencialidad de procesos patentes diseños etcétera de la organización
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5xHFzUMAG7N_22050_160_0.wav,coadyuvar con las y los responsables de las unidades en la mejora del clima laboral e incremento de la productividad
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6JZXH7rLnZG_22050_160_0.wav,en primer lugar las y los patrones tendrán la obligación de entregar a sus trabajadores de manera gratuita un ejemplar impreso del contrato colectivo de trabajo inicial o de su revisión dentro de los quince días siguientes a que se ha depositado ante el centro Federal de conciliación y registro laboral
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6q11VEPldHX_22050_160_0.wav,pero todo esto implica Haz clic en el botón comenzar
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6XOIlfQqCiy_22050_160_0.wav,participación en los procesos de baja cuando sea requerido
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_5j372ue0Vp6_21_160_1102x620_1.wav,ahora es momento de revisar las relaciones individuales de trabajo entender que una buena relación jefe colaborador contribuye a tener una vida sindical estable
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6M3pyrCjGWV_22050_160_0.wav,con obligaciones y responsabilidades con la capacidad de entender que hay que cuidar la fuente de trabajo con experiencia o sin experiencia en este tipo de responsabilidad es con conocimiento o sin conocimiento de la Ley Federal del Trabajo el reglamento interior de trabajo y el contrato colectivo de trabajo con capacidad de escucha o no hacia los requerimientos de las y los asociados con la capacidad o no de saber balancear lo que es correcto o no ante peticiones de las y los asociados por mencionar las más importantes
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5zNkdTvvTSB_22050_160_0.wav,entablar comunicación constante con las y los responsables designados por Walmart de las unidades
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/60VmyAfVntJ_22050_160_0.wav,la calendarización de las juntas de trabajo con recursos humanos para revisar y dar respuesta a los asuntos sindicales
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6ohJa2ZMrqq_22050_160_0.wav,te has dado cuenta que una de las principales implicaciones de todo esto es el nacimiento de la figura de la O el delegado sindical
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_6UDUxi3gCuR_21_160_1102x620_1.wav,certificación en relaciones laborales
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_5dqh2iQ4v0f_21_160_1102x620_1.wav,y Qué nuevas funciones debe realizar la ue líder de recursos humanos con la activación de la vida sindical 1 establecer Y respetar las líneas de comunicación cuando se presenten peticiones por parte de las y los asociados hacia rh2 mantener una agenda de trabajo establecida con la o el delegado sindical 3 establecer una estructura de junta de trabajo con la o el delegado cuatro escuchar y anotar cada uno de los puntos presentados por la o el delegado sindical 5 analizar cada uno de los puntos presentados por la o el delegado sindical y no precipitarse en tratar de dar respuesta inmediata mejor ofrece una fecha de respuesta 6 construir una relación de confianza con la o el delegado siete mantener comunicación e informar a la gerencia de unidad de los puntos tratados en las juntas con la o el delegado 8 dependiendo de la criticidad de los puntos presentados por la o el delegado comunicar e informar a Regional de r h i o al área corporativa de relaciones laborales 9 participar junto con la gerencia de unidad en el proceso de selección de las y los integrantes de las comisiones mixtas de capacitación y adiestramiento la de seguridad e higiene y la de participación de utilidades pies atender de forma inmediata los puntos revisados en las juntas de las comisiones mixtas de capacitación y adiestramiento la de seguridad e higiene y la de participación de utilidades 11 mantener una comunicación continúa con las y los supervisores sobre Las observaciones realizadas por las y los asociados a través de la u el delegado sindical 12 preparar capacitar y formar a las y los supervisores para un excelente manejo de las relaciones de trabajo con sus asociados 13 ante situaciones complicadas apegarse al protocolo de actuación ante presencia sindical descargable 14 dar atención correcta y oportuna a las inspecciones de las autoridades laborales No olvides la regla de oro en la interacción con la o el delegado sindical las y los líderes empáticos dialogan escuchando las y los antipáticos dialogan hablando efectivamente José hay que aplicar la triple de diálogo diálogo y más diálogo y la triple o oído oído y más oído
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5VXLy0ZiGDd_22050_160_0.wav,en este momento deberás responder la actividad análisis de mi entorno que previamente imprimiste
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6kHYhmwMFkn_22050_160_0.wav,las y los delegados sindicales pueden tener o no las siguientes características principalmente
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5q4mFSWvNJy_22050_160_0.wav,el cumplimiento de los planes registrados ante la autoridad
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5iGyQivdLn2_22050_160_0.wav,puede ser la o el representante de un grupo de trabajadores ante el sindicato local o un representante especial con reconocimiento de un Sindicato Nacional
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6V0EtHoihdi_22050_160_0.wav,para ser delegado O delegada sindical es deseable que tenga las siguientes competencias y habilidades mismas que son recomendables para Quiénes integran las comisiones mixtas de capacitación y adiestramiento la de seguridad e higiene y la de participación de utilidades capacidad de análisis capacidades organizativas capaz de entablar buenas relaciones con la gente capaz de influir y liderar a las personas capaz de mantener información confidencial capaz de tomar la iniciativa como las más significativas
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6hKIEEU6m8a_22050_160_0.wav,vigilar el cumplimiento de lo pactado con el contrato colectivo de trabajo
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6mSxvZgMqcC_22050_160_0.wav,deberá brindar apoyo y resolver dudas entre las y los agremiados
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5V2kOgY89uU_22050_160_0.wav,es decir que aparece una nueva realidad en tus operaciones
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_6K2kLbPSxJL_21_160_1102x620_1.wav,Cómo ves los sindicatos son una estructura central en tu ámbito profesional por esto debes conocer sus principales atributos vamos a revisar los representar los intereses colectivos de patrones o trabajadores según sea el caso redactar sus estatutos y reglamentos elegir a sus representantes organizar su administración y la forma de realizar sus actividades formular su programa de acción adquirir bienes muebles bienes inmuebles destinados al objeto de su institución y defender ante todas las autoridades sus derechos
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6Gzv79Djp5t_22050_160_0.wav,todo lo que acabas de aprender se va a ver reflejado en una nueva realidad en tu operación una vez que inicia la vida sindical en tu unidad de trabajo
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6jPbIjbhj7u_22050_160_0.wav,la garantía de las condiciones de higiene y seguridad de sus unidades infografía 2 PDF descargable de lo que se debe reforzar con gerencia y supervisión
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_6i2uNAZoNwz_21_160_1102x620_1.wav,Situación actual
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5orQQUpmshw_22050_160_0.wav,revisar casos presentados por el patrón por faltas al reglamento interior de trabajo Por alguno o algunos de las y los trabajadores
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5cEuSd6bZqt_22050_160_0.wav,respecto al ambiente laboral qué tanta rotación hay en tu estado en tu área existen diversas fuentes de empleo en tus alrededores
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6ZcQeyyy8Wy_22050_160_0.wav,Y por último la inserción de nuevas disposiciones y controles importantes para lograr los objetivos del Gobierno Federal
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5fbxFrWXpHN_22050_160_0.wav,principalmente implica conocer el reglamento interior de trabajo conocer el contrato colectivo de trabajo identificar las principales funciones y quiénes constituyen las comisiones mixtas de capacitación y adiestramiento de seguridad e higiene y dpto agendar sesiones de trabajo con delegado o delegada sindical o con asesor o asesora sindical identificar cuando se agenden sesiones de comunicación o asambleas con las y los asociados y otras tantas situaciones más
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_6HUrvtGRhJk_21_160_1102x620_1.wav,un concepto importante que debes manejar en tu día a día es el de contrato colectivo la revisión de contratos colectivos está regulada en los artículos 399 y 399 bis de la Ley Federal del trabajo ahí podrás comprobar que deben ser revisados en el transcurso de 2 años en Su contenido total además deben revisarse también anualmente en lo que se refiere a los salarios en efectivo por cuota diaria este derecho de revisión puede ser ejercido por cualquiera de las partes tiene en cuenta que los patrones hacen caso omiso de este beneficio legal ya que no tienen el apoyo de la huelga sin embargo es importante que se haga valer la petición ya que de otra manera el sindicato podrá licitamente negarse a discutir cualquier cambio propuesto por el patrón tampoco existe la obligación de celebrar el contrato colectivo segundos artículos el artículo 387 de la Ley Federal del Trabajo estipula que la o el patrón que emplee trabajadores miembros de un sindicato tendrá la obligación de celebrar con este cuando lo solicité un contrato colectivo y el artículo 450 de la misma ley dice que si el patrón se niega a firmar el contrato podrán los trabajadores ejercitar el derecho de huelga
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6TXmryxOw3e_22050_160_0.wav,además hay otros cambios importantes que resultan de la reforma laboral y que debes conocer
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5aBeniWhjF6_22050_160_0.wav,el reconocimiento de las autoridades sindicales y de cuáles son sus obligaciones y responsabilidades limitantes
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6bPuXdRg3Xl_22050_160_0.wav,atender las inspecciones de las autoridades laborales cuando sea requerido
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6HquwZrMsNn_22050_160_0.wav,es importante recordar que la elección de directivas de sindicatos y federaciones deberá ser mediante voto personal libre directo y secreto de sus miembros y que el período de duración de las directivas no podrá ser indefinido además las federaciones y confederaciones deberán constituirse por al menos dos organizaciones sindicales
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5eVntOhRl7M_22050_160_0.wav,debe surgir de la base contar con amplio criterio y conocimiento de la realidad social de esa manera puede sentirse parte de los intereses Qué representa y actuar de manera acertada
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6dBxVxHWZ07_22050_160_0.wav,el análisis y la respuesta a las comisiones mixtas de capacitación y adiestramiento y de seguridad e higiene
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5cvHPP8SOPa_22050_160_0.wav,otro factor clave ante la activación de la vida sindical es el rol de la gerencia y supervisoras o supervisores en las unidades de trabajo es fundamental reforzar los siguientes conocimientos
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6CoOtOhCkKE_22050_160_0.wav,apoyar y vigilar el funcionamiento de las comisiones mixtas de capacitación y adiestramiento y de la seguridad e higiene industrial
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/62XLG582VKL_22050_160_0.wav,respecto al entendimiento político hay elecciones próximas en tu estado o municipio algún cambio de gobernantes reciente
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_5XpAux3g9xD_21_160_1102x620_1.wav,con este análisis concluimos la primera parte iniciemos el tema relaciones colectivas de trabajo
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_6AARnqXwOnF_21_160_1102x620_1.wav,antes de continuar repasa algunos conceptos el sindicato es una asociación permanente de trabajadores cuyo fin es defender los derechos de las y los trabajadores y negociar con las empresas para obtener mejores salarios y condiciones laborales el Sindicato de trabajadores es aquel que agrupa a trabajadores y trabajadoras de una misma empresa el sindicato patronal es el que representa los intereses de las y los patrones y no los intereses de las y los trabajadores la confederación de sindicatos es una agrupación voluntaria de sindicatos de un país de diferentes actividades oficios y empresas con el fin de constituir una fuerza sindical nacional y representar colectivamente a las y los trabajadores a nivel nacional
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5mMJmhQtK8E_22050_160_0.wav,el conocimiento en las líneas de comunicación que deben seguirse para la resolución de quejas o requerimientos por parte de las y los asociados En dónde interviene el sindicato
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5yTYNoN5bk5_22050_160_0.wav,la clave para evitar los conflictos laborales es mantener una comunicación y un trabajo continuo con las y los delegados sindicales todo el tiempo y no solo juntarse con ellos a negociar cuando ya no hay plazos los mejores acuerdos de negociación se consiguen con el trabajo diario con los sindicatos y no solo al enfrentarse en una negociación colectiva
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_5kqEruU3qpp_21_160_1102x620_1.wav,la reforma laboral cumple con Los acuerdos de democracia sindical y Justicia laboral pactados por el Gobierno Federal en el tratado comercial con Estados Unidos y Canadá además los ajustes que se han realizado a la Ley Federal del Trabajo responden a lo exigido en el convenio 98 de la organización Internacional del trabajo de hecho esta reforma laboral fue considerada imprescindible por la presidenta de la cámara de representantes de Estados Unidos Nancy pelosi para la ratificación del t-mec Estados Unidos demandó mejorar los derechos laborales en México lo que se asoció a una mejora salarial que debe equilibrar la Competencia por las inversiones entonces por eso está ligado con los recientes aumentos al salario mínimo es correcto el primero de enero de 2019 se autorizó un 100% de incremento al salario mínimo en zonas de frontera y un incremento del 16.21% en el resto del país el nombramiento de la nueva secretaría de trabajo y previsión social Luisa María alcalde Luján es relevante ya que ella está alineada con el nuevo gobierno y es una de las principales impulsoras de una nueva filosofía sindical laboral
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5VKfsuj4tO7_22050_160_0.wav,y sobre el conocimiento de los aspectos económicos te encuentras en una zona de economía dolarizada
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5XI6VqC5QEm_22050_160_0.wav,en último lugar desaparecen las juntas de conciliación y arbitraje en su lugar se creara el centro Federal de conciliación y registro laboral que realizará la función conciliadora en materia federal y llevara el registro de todos los contratos colectivos de trabajo reglamentos interiores del mismo y de las organizaciones sindicales
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_69wuf5N3JRy_21_160_1102x620_1.wav,los artículos 422 y 423 son los que regulan el reglamento interior de trabajo este reglamento se liga directamente con tus operaciones Por qué es importante conocer estos artículos de la ley porque esto está ligado totalmente a nuestra operación en el día a día de las leyes que rigen las relaciones laborales y supervisadas por las instituciones laborales oficiales sindicato y empresa llegan a un acuerdo este acuerdo se constituye a través del contrato colectivo de trabajo y el reglamento interior del trabajo en ambos documentos se enmarca la relación diaria entre la o el jefe y la o el asociado analicemos con mayor profundidad las relaciones entre el sindicato y la empresa Esos son los puntos básicos a cubrir entre empresa y sindicato en un centro de trabajo con vida sindical activa tanto empresa y sindicato deberán vigilar que se cumpla lo pactado en el contrato colectivo de trabajo negociar beneficios para los trabajadores como salarios justos mejores condiciones de trabajo y estabilidad del empleo mejoría de los beneficios económicos y sociales asegurar la participación activa en las comisiones mixtas de capacitación y adiestramiento y seguridad e higiene María sabías que estos puntos tienen un impacto sobre la operación diaria nuestras operaciones por lo que es muy importante conocer los de atenderlos sí sé que son importantes revisemos en detalle las implicaciones de una
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6dvR8FT8Df1_22050_160_0.wav,en relación al ambiente social Qué tan alto es el índice de delincuencia en tu estado o zona el tránsito de migrantes Centroamericanos impacta tu estado ozona
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6EPdjZbaVZ1_22050_160_0.wav,el nuevo rol de recursos humanos ante la vida sindical activa tiene tres principios clave Haz clic para conocerlos
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6R3RnlxgHK7_22050_160_0.wav,En tercer lugar las y los trabajadores así como las y los patrones tienen derecho de constituir las organizaciones que estimen convenientes
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5UmMiCDvieI_22050_160_0.wav,la vigilancia de la correcta relación de trabajo de líderes y sus asociados o asociadas
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6OTrkPtZ8RP_22050_160_0.wav,estás habilidades tienen que servirle para realizar estás funciones Haz clic en los iconos para conocerlas
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/6gL4XPrzA6G_22050_160_0.wav,ASUME un nuevo rol estratégico estableciéndose como mediador de las negociaciones entre ambas partes avanzando hacia un nuevo modelo de relación en el que se trabaja en forma colaborativa para obtener el mayor beneficio tanto para las y los asociados como para la empresa
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5q7Uz09gVWJ_22050_160_0.wav,descarga el protocolo y las nuevas funciones de líderes de RH es información que deberás tener a la mano para consultar
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/5ZpO7mRtApn_22050_160_0.wav,informar a sus compañeros y compañeras acerca de cambios son nuevas disposiciones presentadas
/Users/diego/x99/subitus/speech_to_text/ARCHIVOS/video_5VCEe3Qrlum_21_160_1102x620_1.wav,Hola Mi nombre es María y junto a mi compañero José te guiaremos a lo largo de esta certificación en relaciones laborales es importante que analicemos y entendamos los cambios que se están produciendo en materia laboral en el país cierto José es importante que entendamos también el marco legal que rige las relaciones colectivas de trabajo y entender cómo impacta en nuestras operaciones el tener una vida sindical activa revisaremos las relaciones de las y los jefes con las y los asociados derivadas de la relación individual de trabajo
